Stand	Schedule	P1_Income	P1_Pine_saw	P1_Pine_pulp	P1_Spruce_saw	P1_Spruce_pulp	P1_Birch_saw	P1_Birch_pulp	P2_Income	P2_Pine_saw	P2_Pine_pulp	P2_Spruce_saw	P2_Spruce_pulp	P2_Birch_saw	P2_Birch_pulp	P3_Income	P3_Pine_saw	P3_Pine_pulp	P3_Spruce_saw	P3_Spruce_pulp	P3_Birch_saw	P3_Birch_pulp	P4_Income	P4_Pine_saw	P4_Pine_pulp	P4_Spruce_saw	P4_Spruce_pulp	P4_Birch_saw	P4_Birch_pulp	P5_Income	P5_Pine_saw	P5_Pine_pulp	P5_Spruce_saw	P5_Spruce_pulp	P5_Birch_saw	P5_Birch_pulp	P6_Income	P6_Pine_saw	P6_Pine_pulp	P6_Spruce_saw	P6_Spruce_pulp	P6_Birch_saw	P6_Birch_pulp	PV_timber	PV_land	Binary
7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23036.88686	329.8387711	25.18152548	31.81364405	1.905823171	1.150594561	13.87242914	481.2607727	481.2607727	1
7	8	17931.76832	245.3992477	22.34351796	29.42982995	2.028149117	1.555104589	18.68967181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
7	9	0	0	0	0	0	0	0	18024.57928	247.1607176	22.22732636	29.77220106	1.947477975	1.502214065	18.09793735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18116.05338	248.945757	22.07868308	29.99740325	1.981428925	1.452612119	17.5169679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
7	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18211.82355	250.8473524	21.82172653	30.28593187	1.954015265	1.401033472	16.946007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18457.35447	255.2516111	21.97359968	31.01430109	1.978425794	1.267304532	15.33065896	0	0	0	0	0	0	0	523.5426636	523.5426636	1
7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18712.05125	259.8851217	21.82319281	31.81364405	1.905823171	1.150594561	13.87242914	481.2607727	481.2607727	1
8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10197.75781	398.2851257	1
8	2	8377.250522	104.329548	6.186249753	33.73518967	1.451358454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
8	3	0	0	0	0	0	0	0	8429.63529	104.9162491	6.223722778	34.01946407	1.440235575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8487.348215	105.6652868	6.129356479	34.32378948	1.415486527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8544.159146	106.4473816	5.990935812	34.57788282	1.432034155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8681.02755	108.1003693	5.911037912	35.3484309	1.352134651	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8819.292018	109.8281353	5.790823193	36.04032885	1.345346828	0	0	398.2851257	398.2851257	1
9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11545.59766	412.446228	1
9	2	2651.403938	32.14682468	4.142956469	9.102929377	0.861748266	0.099427175	0.76640376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
9	3	0	0	0	0	0	0	0	2671.404596	32.39088028	4.153988782	9.218800964	0.843271789	0.096530413	0.745563183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2691.687372	32.67580825	4.12173783	9.30253411	0.857008223	0.093849559	0.724891646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
